id_ruta,ruta
87,"(5, 3, 1, 2, 6, 9, 11, 4, 7, 10, 8, 0)"
88,"(3, 1, 2, 6, 5, 9, 11, 4, 7, 10, 8, 0)"
89,"(5, 11, 9, 4, 3, 7, 10, 8, 1, 2, 6, 0)"
90,"(9, 11, 4, 10, 5, 3, 7, 8, 1, 2, 6, 0)"
91,"(11, 3, 5, 9, 4, 7, 10, 8, 1, 2, 6, 0)"
92,"(4, 5, 9, 11, 3, 7, 10, 8, 1, 2, 6, 0)"
93,"(7, 5, 9, 11, 4, 3, 10, 8, 1, 2, 6, 0)"
94,"(9, 11, 4, 5, 3, 7, 10, 8, 1, 2, 6, 0)"
95,"(11, 4, 3, 7, 5, 9, 10, 8, 1, 2, 6, 0)"
96,"(11, 4, 5, 9, 3, 7, 10, 8, 1, 2, 6, 0)"
97,"(9, 11, 4, 0, 5, 3, 7, 10, 8, 1, 2, 6)"
98,"(11, 7, 5, 9, 4, 3, 10, 8, 1, 2, 6, 0)"
99,"(5, 11, 6, 9, 4, 3, 7, 10, 8, 1, 2, 0)"
100,"(5, 3, 7, 9, 11, 4, 10, 8, 1, 2, 6, 0)"
101,"(5, 9, 4, 11, 3, 7, 10, 8, 1, 2, 6, 0)"
102,"(9, 11, 10, 5, 4, 3, 7, 8, 1, 2, 6, 0)"
103,"(11, 3, 7, 2, 5, 9, 4, 10, 8, 1, 6, 0)"
104,"(9, 7, 5, 11, 4, 3, 10, 8, 1, 2, 6, 0)"
105,"(9, 11, 5, 4, 3, 7, 10, 8, 1, 2, 6, 0)"
106,"(5, 9, 7, 1, 11, 4, 3, 10, 8, 2, 6, 0)"
107,"(3, 7, 5, 9, 11, 4, 10, 8, 1, 2, 6, 0)"
108,"(11, 5, 9, 4, 3, 7, 10, 8, 1, 2, 6, 0)"
109,"(11, 4, 3, 7, 2, 6, 5, 9, 10, 8, 1, 0)"
110,"(5, 9, 11, 4, 6, 3, 7, 10, 8, 1, 2, 0)"
111,"(5, 11, 10, 9, 4, 3, 7, 8, 1, 2, 6, 0)"
112,"(11, 10, 8, 5, 9, 4, 3, 7, 1, 2, 6, 0)"
113,"(9, 11, 6, 5, 4, 3, 7, 10, 8, 1, 2, 0)"
114,"(11, 4, 7, 1, 6, 5, 9, 3, 10, 8, 2, 0)"
115,"(5, 9, 11, 4, 10, 8, 3, 7, 1, 2, 6, 0)"
116,"(5, 11, 4, 9, 3, 7, 10, 8, 1, 2, 6, 0)"
117,"(11, 4, 3, 7, 1, 5, 9, 10, 8, 2, 6, 0)"
118,"(5, 9, 3, 7, 1, 11, 4, 10, 8, 2, 6, 0)"
119,"(11, 4, 7, 5, 9, 3, 10, 8, 1, 2, 6, 0)"
120,"(11, 1, 5, 9, 4, 3, 7, 10, 8, 2, 6, 0)"
121,"(9, 11, 10, 8, 5, 4, 3, 7, 1, 2, 6, 0)"
122,"(11, 3, 7, 1, 5, 9, 4, 10, 8, 2, 6, 0)"
123,"(9, 3, 7, 5, 11, 4, 10, 8, 1, 2, 6, 0)"
124,"(5, 4, 9, 11, 3, 7, 10, 8, 1, 2, 6, 0)"
125,"(5, 9, 7, 11, 4, 3, 10, 8, 1, 2, 6, 0)"
126,"(5, 9, 11, 4, 10, 3, 7, 8, 1, 2, 6, 0)"
127,"(4, 3, 7, 2, 5, 9, 11, 10, 8, 1, 6, 0)"
128,"(9, 4, 5, 11, 3, 7, 10, 8, 1, 2, 6, 0)"
129,"(11, 4, 3, 1, 2, 6, 5, 9, 7, 10, 8, 0)"
130,"(5, 9, 3, 7, 11, 4, 10, 8, 1, 2, 6, 0)"
131,"(3, 1, 2, 5, 9, 11, 4, 7, 10, 8, 6, 0)"
132,"(1, 2, 6, 5, 9, 11, 4, 3, 7, 10, 8, 0)"
133,"(9, 3, 1, 6, 5, 11, 4, 7, 10, 8, 2, 0)"
134,"(5, 11, 4, 10, 6, 9, 3, 7, 8, 1, 2, 0)"
135,"(5, 4, 10, 8, 9, 11, 3, 7, 1, 2, 6, 0)"
136,"(5, 9, 4, 0, 11, 3, 7, 10, 8, 1, 2, 6)"
137,"(11, 4, 3, 1, 5, 9, 7, 10, 8, 2, 6, 0)"
138,"(5, 9, 4, 10, 8, 11, 3, 7, 1, 2, 6, 0)"
139,"(5, 11, 4, 10, 8, 9, 3, 7, 1, 2, 6, 0)"
140,"(9, 11, 4, 10, 8, 5, 3, 7, 1, 2, 6, 0)"
141,"(11, 7, 6, 5, 9, 4, 3, 10, 8, 1, 2, 0)"
142,"(5, 9, 3, 7, 1, 6, 11, 4, 10, 8, 2, 0)"
143,"(5, 9, 11, 4, 10, 8, 6, 3, 7, 1, 2, 0)"
144,"(11, 2, 5, 9, 4, 3, 7, 10, 8, 1, 6, 0)"
145,"(5, 9, 4, 10, 11, 3, 7, 8, 1, 2, 6, 0)"
146,"(3, 7, 2, 6, 5, 9, 11, 4, 10, 8, 1, 0)"
147,"(4, 3, 7, 5, 9, 11, 10, 8, 1, 2, 6, 0)"
148,"(9, 11, 4, 6, 5, 3, 7, 10, 8, 1, 2, 0)"
149,"(4, 3, 7, 1, 5, 9, 11, 10, 8, 2, 6, 0)"
150,"(11, 4, 3, 7, 2, 5, 9, 10, 8, 1, 6, 0)"
151,"(7, 6, 5, 9, 11, 4, 3, 10, 8, 1, 2, 0)"
152,"(5, 4, 10, 9, 11, 3, 7, 8, 1, 2, 6, 0)"
153,"(5, 11, 10, 8, 9, 4, 3, 7, 1, 2, 6, 0)"
154,"(11, 3, 7, 5, 9, 4, 10, 8, 1, 2, 6, 0)"
155,"(3, 7, 2, 5, 9, 11, 4, 10, 8, 1, 6, 0)"
156,"(5, 9, 4, 6, 11, 3, 7, 10, 8, 1, 2, 0)"
157,"(11, 10, 5, 9, 4, 3, 7, 8, 1, 2, 6, 0)"
158,"(3, 7, 1, 5, 9, 11, 4, 10, 8, 2, 6, 0)"
159,"(11, 0, 5, 9, 4, 3, 7, 10, 8, 1, 2, 6)"
160,"(5, 11, 4, 0, 9, 3, 7, 10, 8, 1, 2, 6)"
161,"(5, 9, 3, 7, 1, 2, 11, 4, 10, 8, 6, 0)"
162,"(11, 4, 3, 7, 1, 2, 5, 9, 10, 8, 6, 0)"
163,"(5, 9, 11, 4, 8, 3, 7, 10, 1, 2, 6, 0)"
164,"(5, 9, 11, 4, 0, 3, 7, 10, 8, 1, 2, 6)"
165,"(3, 7, 1, 2, 5, 9, 11, 4, 10, 8, 6, 0)"
166,"(4, 3, 7, 1, 2, 5, 9, 11, 10, 8, 6, 0)"
167,"(4, 1, 5, 9, 11, 3, 7, 10, 8, 2, 6, 0)"
168,"(11, 4, 3, 7, 6, 5, 9, 10, 8, 1, 2, 0)"
169,"(4, 3, 5, 9, 11, 7, 10, 8, 1, 2, 6, 0)"
170,"(4, 6, 5, 9, 11, 3, 7, 10, 8, 1, 2, 0)"
171,"(11, 4, 3, 5, 9, 7, 10, 8, 1, 2, 6, 0)"
172,"(5, 9, 11, 10, 4, 3, 7, 8, 1, 2, 6, 0)"
173,"(5, 9, 11, 10, 8, 4, 3, 7, 1, 2, 6, 0)"
174,"(5, 3, 7, 1, 9, 11, 4, 10, 8, 2, 6, 0)"
175,"(5, 9, 3, 7, 2, 11, 4, 10, 8, 1, 6, 0)"
176,"(5, 9, 11, 0, 4, 3, 7, 10, 8, 1, 2, 6)"
177,"(5, 9, 11, 8, 4, 3, 7, 10, 1, 2, 6, 0)"
178,"(5, 11, 8, 9, 4, 3, 7, 10, 1, 2, 6, 0)"
179,"(11, 4, 7, 1, 2, 5, 9, 3, 10, 8, 6, 0)"
180,"(5, 9, 3, 7, 6, 11, 4, 10, 8, 1, 2, 0)"
181,"(9, 4, 6, 5, 11, 3, 7, 10, 8, 1, 2, 0)"
182,"(11, 4, 6, 5, 9, 3, 7, 10, 8, 1, 2, 0)"
183,"(11, 4, 3, 2, 5, 9, 7, 10, 8, 1, 6, 0)"
184,"(11, 4, 10, 5, 9, 3, 7, 8, 1, 2, 6, 0)"
185,"(7, 1, 5, 9, 11, 4, 3, 10, 8, 2, 6, 0)"
186,"(4, 1, 6, 5, 9, 11, 3, 7, 10, 8, 2, 0)"
187,"(5, 9, 11, 6, 4, 3, 7, 10, 8, 1, 2, 0)"
188,"(9, 11, 8, 5, 4, 3, 7, 10, 1, 2, 6, 0)"
189,"(9, 4, 10, 5, 11, 3, 7, 8, 1, 2, 6, 0)"
190,"(5, 7, 9, 11, 4, 3, 10, 8, 1, 2, 6, 0)"
191,"(5, 9, 7, 1, 2, 6, 11, 4, 3, 10, 8, 0)"
192,"(5, 9, 11, 10, 6, 4, 3, 7, 8, 1, 2, 0)"
193,"(5, 11, 4, 6, 9, 3, 7, 10, 8, 1, 2, 0)"
194,"(4, 3, 2, 5, 9, 11, 7, 10, 8, 1, 6, 0)"
195,"(5, 9, 11, 4, 6, 0, 3, 7, 10, 8, 1, 2)"
196,"(11, 4, 10, 8, 5, 9, 3, 7, 1, 2, 6, 0)"
197,"(9, 4, 10, 8, 5, 11, 3, 7, 1, 2, 6, 0)"
198,"(4, 3, 1, 5, 9, 11, 7, 10, 8, 2, 6, 0)"
199,"(4, 7, 5, 9, 11, 3, 10, 8, 1, 2, 6, 0)"
200,"(11, 7, 2, 6, 5, 9, 4, 3, 10, 8, 1, 0)"
201,"(9, 7, 1, 5, 11, 4, 3, 10, 8, 2, 6, 0)"
202,"(11, 4, 3, 1, 2, 5, 9, 7, 10, 8, 6, 0)"
203,"(7, 1, 2, 5, 9, 11, 4, 3, 10, 8, 6, 0)"
204,"(9, 3, 7, 6, 5, 11, 4, 10, 8, 1, 2, 0)"
205,"(9, 3, 7, 2, 5, 11, 4, 10, 8, 1, 6, 0)"
206,"(11, 3, 7, 1, 2, 5, 9, 4, 10, 8, 6, 0)"
207,"(4, 8, 5, 9, 11, 3, 7, 10, 1, 2, 6, 0)"
208,"(5, 9, 3, 7, 1, 2, 6, 11, 4, 10, 8, 0)"
209,"(5, 4, 8, 9, 11, 3, 7, 10, 1, 2, 6, 0)"
210,"(5, 9, 7, 6, 11, 4, 3, 10, 8, 1, 2, 0)"
211,"(11, 7, 1, 5, 9, 4, 3, 10, 8, 2, 6, 0)"
212,"(5, 9, 7, 2, 11, 4, 3, 10, 8, 1, 6, 0)"
213,"(11, 7, 2, 5, 9, 4, 3, 10, 8, 1, 6, 0)"
214,"(5, 9, 11, 8, 6, 4, 3, 7, 10, 1, 2, 0)"
215,"(11, 3, 1, 5, 9, 4, 7, 10, 8, 2, 6, 0)"
216,"(4, 10, 5, 9, 11, 3, 7, 8, 1, 2, 6, 0)"
217,"(4, 0, 5, 9, 11, 3, 7, 10, 8, 1, 2, 6)"
218,"(5, 9, 3, 7, 2, 6, 11, 4, 10, 8, 1, 0)"
219,"(5, 11, 4, 10, 9, 3, 7, 8, 1, 2, 6, 0)"
220,"(9, 3, 7, 1, 5, 11, 4, 10, 8, 2, 6, 0)"
221,"(5, 9, 4, 10, 6, 11, 3, 7, 8, 1, 2, 0)"
222,"(4, 3, 2, 6, 5, 9, 11, 7, 10, 8, 1, 0)"
223,"(5, 9, 11, 4, 10, 6, 3, 7, 8, 1, 2, 0)"
224,"(11, 4, 3, 7, 1, 2, 6, 5, 9, 10, 8, 0)"
225,"(5, 11, 4, 8, 9, 3, 7, 10, 1, 2, 6, 0)"
226,"(11, 6, 5, 9, 4, 3, 7, 10, 8, 1, 2, 0)"
227,"(11, 4, 3, 6, 5, 9, 7, 10, 8, 1, 2, 0)"
228,"(5, 3, 7, 2, 9, 11, 4, 10, 8, 1, 6, 0)"
229,"(11, 4, 2, 6, 5, 9, 3, 7, 10, 8, 1, 0)"
230,"(7, 2, 5, 9, 11, 4, 3, 10, 8, 1, 6, 0)"
231,"(5, 11, 10, 8, 6, 9, 4, 3, 7, 1, 2, 0)"
232,"(11, 3, 1, 2, 5, 9, 4, 7, 10, 8, 6, 0)"
233,"(9, 7, 2, 5, 11, 4, 3, 10, 8, 1, 6, 0)"
234,"(5, 4, 6, 9, 11, 3, 7, 10, 8, 1, 2, 0)"
235,"(11, 3, 2, 5, 9, 4, 7, 10, 8, 1, 6, 0)"
236,"(3, 7, 6, 5, 9, 11, 4, 10, 8, 1, 2, 0)"
237,"(5, 11, 0, 9, 4, 3, 7, 10, 8, 1, 2, 6)"
238,"(5, 9, 7, 1, 2, 11, 4, 3, 10, 8, 6, 0)"
239,"(5, 7, 6, 9, 11, 4, 3, 10, 8, 1, 2, 0)"
240,"(11, 4, 3, 7, 1, 6, 5, 9, 10, 8, 2, 0)"
241,"(11, 4, 1, 5, 9, 3, 7, 10, 8, 2, 6, 0)"
242,"(5, 3, 7, 6, 9, 11, 4, 10, 8, 1, 2, 0)"
243,"(11, 1, 2, 5, 9, 4, 3, 7, 10, 8, 6, 0)"
244,"(11, 3, 7, 6, 5, 9, 4, 10, 8, 1, 2, 0)"
245,"(11, 7, 1, 6, 5, 9, 4, 3, 10, 8, 2, 0)"
246,"(11, 10, 8, 6, 5, 9, 4, 3, 7, 1, 2, 0)"
247,"(11, 4, 7, 1, 5, 9, 3, 10, 8, 2, 6, 0)"
248,"(5, 4, 0, 9, 11, 3, 7, 10, 8, 1, 2, 6)"
249,"(4, 8, 6, 5, 9, 11, 3, 7, 10, 1, 2, 0)"
250,"(5, 7, 1, 9, 11, 4, 3, 10, 8, 2, 6, 0)"
251,"(5, 7, 2, 9, 11, 4, 3, 10, 8, 1, 6, 0)"
252,"(11, 4, 8, 5, 9, 3, 7, 10, 1, 2, 6, 0)"
253,"(5, 9, 11, 10, 8, 6, 4, 3, 7, 1, 2, 0)"
254,"(5, 9, 4, 8, 11, 3, 7, 10, 1, 2, 6, 0)"
255,"(4, 3, 7, 6, 5, 9, 11, 10, 8, 1, 2, 0)"
256,"(11, 3, 7, 1, 6, 5, 9, 4, 10, 8, 2, 0)"
257,"(4, 10, 8, 5, 9, 11, 3, 7, 1, 2, 6, 0)"
258,"(5, 9, 4, 6, 0, 11, 3, 7, 10, 8, 1, 2)"
259,"(4, 7, 2, 5, 9, 11, 3, 10, 8, 1, 6, 0)"
260,"(9, 3, 7, 1, 2, 5, 11, 4, 10, 8, 6, 0)"
261,"(4, 3, 7, 1, 2, 6, 5, 9, 11, 10, 8, 0)"
262,"(5, 9, 7, 2, 6, 11, 4, 3, 10, 8, 1, 0)"
263,"(5, 4, 10, 8, 6, 9, 11, 3, 7, 1, 2, 0)"
264,"(9, 11, 0, 5, 4, 3, 7, 10, 8, 1, 2, 6)"
265,"(9, 4, 8, 5, 11, 3, 7, 10, 1, 2, 6, 0)"
266,"(11, 4, 3, 2, 6, 5, 9, 7, 10, 8, 1, 0)"
267,"(11, 8, 5, 9, 4, 3, 7, 10, 1, 2, 6, 0)"
268,"(5, 11, 10, 6, 9, 4, 3, 7, 8, 1, 2, 0)"
269,"(11, 10, 6, 5, 9, 4, 3, 7, 8, 1, 2, 0)"
270,"(11, 4, 6, 0, 5, 9, 3, 7, 10, 8, 1, 2)"
271,"(9, 3, 2, 6, 5, 11, 4, 7, 10, 8, 1, 0)"
272,"(4, 7, 1, 5, 9, 11, 3, 10, 8, 2, 6, 0)"
273,"(5, 9, 11, 6, 0, 4, 3, 7, 10, 8, 1, 2)"
274,"(5, 3, 7, 1, 2, 9, 11, 4, 10, 8, 6, 0)"
275,"(11, 1, 6, 5, 9, 4, 3, 7, 10, 8, 2, 0)"
276,"(11, 3, 2, 6, 5, 9, 4, 7, 10, 8, 1, 0)"
277,"(4, 7, 6, 5, 9, 11, 3, 10, 8, 1, 2, 0)"
278,"(11, 4, 1, 2, 6, 5, 9, 3, 7, 10, 8, 0)"
279,"(11, 4, 7, 2, 5, 9, 3, 10, 8, 1, 6, 0)"
280,"(9, 11, 10, 8, 6, 5, 4, 3, 7, 1, 2, 0)"
281,"(9, 7, 6, 5, 11, 4, 3, 10, 8, 1, 2, 0)"
282,"(4, 2, 5, 9, 11, 3, 7, 10, 8, 1, 6, 0)"
283,"(5, 9, 4, 10, 8, 6, 11, 3, 7, 1, 2, 0)"
284,"(4, 2, 6, 5, 9, 11, 3, 7, 10, 8, 1, 0)"
285,"(4, 3, 7, 2, 6, 5, 9, 11, 10, 8, 1, 0)"
286,"(4, 1, 2, 5, 9, 11, 3, 7, 10, 8, 6, 0)"
287,"(11, 4, 1, 2, 5, 9, 3, 7, 10, 8, 6, 0)"
288,"(11, 7, 1, 2, 5, 9, 4, 3, 10, 8, 6, 0)"
289,"(4, 3, 6, 5, 9, 11, 7, 10, 8, 1, 2, 0)"
290,"(11, 6, 0, 5, 9, 4, 3, 7, 10, 8, 1, 2)"
291,"(5, 9, 11, 4, 8, 6, 3, 7, 10, 1, 2, 0)"
292,"(11, 3, 7, 1, 2, 6, 5, 9, 4, 10, 8, 0)"
293,"(4, 7, 1, 2, 5, 9, 11, 3, 10, 8, 6, 0)"
294,"(9, 4, 10, 8, 6, 5, 11, 3, 7, 1, 2, 0)"
295,"(11, 3, 1, 6, 5, 9, 4, 7, 10, 8, 2, 0)"
296,"(9, 11, 6, 0, 5, 4, 3, 7, 10, 8, 1, 2)"
297,"(9, 4, 0, 5, 11, 3, 7, 10, 8, 1, 2, 6)"
298,"(11, 4, 7, 6, 5, 9, 3, 10, 8, 1, 2, 0)"
299,"(11, 3, 6, 5, 9, 4, 7, 10, 8, 1, 2, 0)"
300,"(5, 3, 7, 1, 2, 6, 9, 11, 4, 10, 8, 0)"
301,"(5, 11, 8, 6, 9, 4, 3, 7, 10, 1, 2, 0)"
302,"(5, 11, 4, 6, 0, 9, 3, 7, 10, 8, 1, 2)"
303,"(4, 3, 1, 2, 5, 9, 11, 7, 10, 8, 6, 0)"
304,"(4, 3, 1, 2, 6, 5, 9, 11, 7, 10, 8, 0)"
305,"(5, 4, 6, 0, 9, 11, 3, 7, 10, 8, 1, 2)"
306,"(11, 3, 7, 2, 6, 5, 9, 4, 10, 8, 1, 0)"
307,"(5, 11, 4, 10, 8, 6, 9, 3, 7, 1, 2, 0)"
308,"(11, 4, 10, 6, 5, 9, 3, 7, 8, 1, 2, 0)"
309,"(9, 7, 1, 2, 5, 11, 4, 3, 10, 8, 6, 0)"
310,"(4, 3, 7, 1, 6, 5, 9, 11, 10, 8, 2, 0)"
311,"(5, 4, 10, 6, 9, 11, 3, 7, 8, 1, 2, 0)"
312,"(5, 9, 4, 8, 6, 11, 3, 7, 10, 1, 2, 0)"
313,"(4, 7, 1, 6, 5, 9, 11, 3, 10, 8, 2, 0)"
314,"(3, 7, 1, 6, 5, 9, 11, 4, 10, 8, 2, 0)"
315,"(4, 3, 1, 6, 5, 9, 11, 7, 10, 8, 2, 0)"
316,"(9, 11, 4, 10, 6, 5, 3, 7, 8, 1, 2, 0)"
317,"(11, 4, 0, 5, 9, 3, 7, 10, 8, 1, 2, 6)"
318,"(3, 7, 1, 2, 6, 5, 9, 11, 4, 10, 8, 0)"
319,"(5, 7, 1, 6, 9, 11, 4, 3, 10, 8, 2, 0)"
320,"(7, 2, 6, 5, 9, 11, 4, 3, 10, 8, 1, 0)"
321,"(9, 3, 7, 1, 6, 5, 11, 4, 10, 8, 2, 0)"
322,"(5, 7, 1, 2, 9, 11, 4, 3, 10, 8, 6, 0)"
323,"(4, 7, 2, 6, 5, 9, 11, 3, 10, 8, 1, 0)"
324,"(9, 11, 4, 8, 5, 3, 7, 10, 1, 2, 6, 0)"
325,"(9, 11, 4, 10, 8, 6, 5, 3, 7, 1, 2, 0)"
326,"(11, 4, 2, 5, 9, 3, 7, 10, 8, 1, 6, 0)"
327,"(11, 2, 6, 5, 9, 4, 3, 7, 10, 8, 1, 0)"
328,"(7, 1, 6, 5, 9, 11, 4, 3, 10, 8, 2, 0)"
329,"(11, 4, 10, 8, 6, 5, 9, 3, 7, 1, 2, 0)"
330,"(9, 3, 7, 1, 2, 6, 5, 11, 4, 10, 8, 0)"
331,"(5, 11, 6, 0, 9, 4, 3, 7, 10, 8, 1, 2)"
332,"(9, 7, 1, 6, 5, 11, 4, 3, 10, 8, 2, 0)"
333,"(9, 11, 10, 6, 5, 4, 3, 7, 8, 1, 2, 0)"
334,"(11, 3, 1, 2, 6, 5, 9, 4, 7, 10, 8, 0)"
335,"(7, 1, 2, 6, 5, 9, 11, 4, 3, 10, 8, 0)"
336,"(4, 10, 6, 5, 9, 11, 3, 7, 8, 1, 2, 0)"
337,"(4, 7, 1, 2, 6, 5, 9, 11, 3, 10, 8, 0)"
338,"(11, 4, 7, 1, 2, 6, 5, 9, 3, 10, 8, 0)"
339,"(5, 3, 7, 2, 6, 9, 11, 4, 10, 8, 1, 0)"
